respondent_id,xyz_vaccine,seasonal_vaccine
26707,0.08228108390958129,0.27603618500824595
26708,0.049168431529495196,0.04646274504127974
26709,0.48070633209196567,0.6698488708341089
26710,0.49654213248820583,0.8894909165135585
26711,0.1435228359238954,0.4160449962789603
26712,0.46302368242684516,0.9111487679252444
26713,0.3301232938942346,0.5810197121806868
26714,0.11528033740054686,0.20570477805182322
26715,0.03392226711671266,0.14584164250980913
26716,0.21928458233608458,0.9004972293873822
26717,0.015337470503807233,0.2887692815929297
26718,0.2203069272825711,0.4721251438049454
26719,0.07182462931914241,0.8981722722680568
26720,0.07641184431599096,0.16464016135983228
26721,0.4583587054061032,0.5104083895285956
26722,0.04875666169600492,0.07002843802999074
26723,0.6457892882736884,0.8516918722016475
26724,0.11215152247672656,0.6447496903791856
26725,0.036411744746794227,0.08482571087282043
26726,0.01140863226520798,0.026972677903477887
26727,0.34285517551872263,0.8528335131763903
26728,0.19958860500193842,0.5265226870008987
26729,0.06982339538341012,0.33544663003248526
26730,0.03290828384241551,0.18074186165703346
26731,0.019355872248352685,0.347126685540692
26732,0.07593768527469995,0.06809979826964593
26733,0.9176201834673955,0.9526421608721067
26734,0.8551604001678051,0.4514704146042701
26735,0.1522411388647778,0.4275424275836869
26736,0.07620962765574188,0.16792281770630474
26737,0.0766723190398878,0.09626231026632487
26738,0.6878863834183649,0.8652105441547632
26739,0.09526170551843167,0.23607799754498013
26740,0.1697244580189628,0.16742245639864442
26741,0.19487926794868388,0.8976182181463119
26742,0.1454085247145848,0.45109494226752445
26743,0.04603586944857506,0.4807330009189152
26744,0.05894915424815212,0.5898041421759086
26745,0.09168195465759446,0.9326414682963874
26746,0.10475478746412599,0.40901215783761186
26747,0.0930785174374785,0.25946041417871457
26748,0.12293848551678228,0.08303565995119734
26749,0.06572000508346122,0.6777578044643404
26750,0.6782766425832021,0.9273767402821588
26751,0.2851370000196077,0.692200223641395
26752,0.016184840575961885,0.01542819618283089
26753,0.20331452084626844,0.6907282878799648
26754,0.11330734645157194,0.6132065397446503
26755,0.106695293684847,0.349229760165395
26756,0.015525712150362634,0.034064613712639386
